CGA ,S̩rie ,RGN ,RGD ,Genotipado ,MGTe,ACC_MGTe,DIPP,ACC_DIPP,DPE365,ACC_DPE365,DPE450,ACC_DPE450,DPN,ACC_DPN,MP120,ACC_MP120,MP210,ACC_MP210,DP120,ACC_DP120,DP210,ACC_DP210,DP365,ACC_DP365,DP450,ACC_DP450,DPAC,ACC_DPAC
3987010,AGMN,F6043,,,"18,31",22,"-1,13",14,"1,13",32,"2,04",35,"0,71",34,"-0,74",15,"-0,70",15,"6,26",25,"10,46",26,"14,84",31,"16,58",33,"5,75",11
4230948,AGMN,F7213,,,"18,95",23,"-0,69",15,"0,79",33,"1,39",37,"0,43",35,"0,96",14,"1,30",14,"8,46",25,"13,03",27,"24,19",31,"21,28",34,"5,20",12
4230949,AGMN,F7220,,,"17,10",22,"-0,38",16,"0,45",33,"0,87",20,"2,58",35,"0,12",15,"0,43",15,"7,30",25,"11,23",27,"19,73",31,"19,82",28,"6,81",12
4230954,AGMN,F7205,,,"20,02",23,"-0,64",16,"1,17",30,"1,14",37,"1,20",35,"0,75",15,"1,30",15,"8,96",24,"14,66",26,"23,83",30,"20,86",34,"7,24",13
4527134,AGMN,F9484,,,"17,08",20,"-0,45",13,"0,27",31,"0,08",35,"1,26",35,"-0,11",15,"-0,13",15,"8,82",19,"12,94",20,"16,50",30,"10,65",33,"2,88",11
4527154,AGMN,F9487,,,"17,49",20,"-0,62",14,"0,44",30,"0,21",34,"1,14",33,"2,39",16,"3,34",16,"5,73",19,"9,73",20,"13,55",28,"13,17",31,"5,94",11
4527365,AGMN,F9256,,,"15,73",21,"-0,52",15,"0,22",32,"0,04",35,"2,56",35,"-0,40",17,"-0,31",17,"7,90",20,"11,34",20,"13,02",31,"10,90",33,"6,61",12
4527502,AGMN,F9645,,,"19,88",18,"-0,80",12,"0,97",29,"1,14",33,"0,72",32,"3,32",14,"4,66",14,"5,71",18,"10,03",18,"17,32",28,"17,71",30,"7,69",10
5074128,AGMN,G2460,,,"17,48",21,"-0,59",14,"1,76",31,"2,08",34,"0,04",34,"3,27",16,"4,52",16,"4,75",19,"8,08",20,"21,37",30,"21,85",32,"7,79",10
5074129,AGMN,G2480,,,"17,22",22,"-1,00",15,"0,64",32,"0,57",35,"0,08",34,"2,84",11,"4,08",11,"4,48",24,"7,82",26,"18,12",31,"13,99",32,"11,59",9